timestamp,pause_duration_seconds,app_name,window_title,session_start,session_end,keystrokes_before_pause,api_request_sent,api_response_status
2026-01-26T21:16:53.549769,5.2,"Inbox (3,294) - puflex@gmail.com - Gmail - Opera","Inbox (3,294) - puflex@gmail.com - Gmail - Opera",2026-01-26T21:16:44.680444,2026-01-26T21:16:53.549769,24,YES,SIMULATED_SUCCESS
2026-01-26T21:16:56.472388,1.01,Email - KULKARNI AMAR MILIND - Outlook - Opera,Email - KULKARNI AMAR MILIND - Outlook - Opera,2026-01-26T21:16:53.555440,2026-01-26T21:16:56.472388,11,YES,SIMULATED_SUCCESS
2026-01-26T21:16:58.223513,1.54,Email - KULKARNI AMAR MILIND - Outlook - Opera,Email - KULKARNI AMAR MILIND - Outlook - Opera,2026-01-26T21:16:53.555440,2026-01-26T21:16:58.223513,13,YES,SIMULATED_SUCCESS
2026-01-26T21:17:01.152293,1.07,Email - KULKARNI AMAR MILIND - Outlook - Opera,Email - KULKARNI AMAR MILIND - Outlook - Opera,2026-01-26T21:16:53.555440,2026-01-26T21:17:01.152293,23,YES,SIMULATED_SUCCESS
2026-01-26T21:17:03.810676,1.04,Email - KULKARNI AMAR MILIND - Outlook - Opera,Email - KULKARNI AMAR MILIND - Outlook - Opera,2026-01-26T21:16:53.555440,2026-01-26T21:17:03.810676,34,YES,SIMULATED_SUCCESS
2026-01-26T21:17:13.513771,3.76,Email - KULKARNI AMAR MILIND - Outlook - Opera,Email - KULKARNI AMAR MILIND - Outlook - Opera,2026-01-26T21:16:53.555440,2026-01-26T21:17:13.513771,70,YES,SIMULATED_SUCCESS
2026-01-26T21:17:18.870276,2.69,Email - KULKARNI AMAR MILIND - Outlook - Opera,Email - KULKARNI AMAR MILIND - Outlook - Opera,2026-01-26T21:16:53.555440,2026-01-26T21:17:18.870276,91,YES,SIMULATED_SUCCESS
2026-01-26T21:17:20.545691,1.61,Email - KULKARNI AMAR MILIND - Outlook - Opera,Email - KULKARNI AMAR MILIND - Outlook - Opera,2026-01-26T21:16:53.555440,2026-01-26T21:17:20.545691,92,YES,SIMULATED_SUCCESS
2026-01-26T21:17:23.971127,3.36,key_logger_context.py - Zenith - Visual Studio Code,key_logger_context.py - Zenith - Visual Studio Code,2026-01-26T21:17:20.548857,2026-01-26T21:17:23.971127,1,YES,SIMULATED_SUCCESS
2026-01-26T21:17:31.563975,1.71,"Inbox (3,294) - puflex@gmail.com - Gmail - Opera","Inbox (3,294) - puflex@gmail.com - Gmail - Opera",2026-01-26T21:17:23.974200,2026-01-26T21:17:31.563975,38,YES,SIMULATED_SUCCESS
2026-01-26T21:17:39.647876,3.63,"Inbox (3,294) - puflex@gmail.com - Gmail - Opera","Inbox (3,294) - puflex@gmail.com - Gmail - Opera",2026-01-26T21:17:23.974200,2026-01-26T21:17:39.647876,68,YES,SIMULATED_SUCCESS
2026-01-26T21:21:15.006417,1.24,Email - KULKARNI AMAR MILIND - Outlook - Opera,Email - KULKARNI AMAR MILIND - Outlook - Opera,2026-01-26T21:21:06.887200,2026-01-26T21:21:15.006417,59,YES,SIMULATED_SUCCESS
2026-01-26T21:21:18.577066,1.23,Email - KULKARNI AMAR MILIND - Outlook - Opera,Email - KULKARNI AMAR MILIND - Outlook - Opera,2026-01-26T21:21:06.887200,2026-01-26T21:21:18.577066,79,YES,SIMULATED_SUCCESS
2026-01-26T21:21:23.738418,5.16,Email - KULKARNI AMAR MILIND - Outlook - Opera,Email - KULKARNI AMAR MILIND - Outlook - Opera,2026-01-26T21:21:06.887200,2026-01-26T21:21:23.738418,80,YES,SIMULATED_SUCCESS
2026-01-26T21:21:30.786465,1.2,"Inbox (3,294) - puflex@gmail.com - Gmail - Opera","Inbox (3,294) - puflex@gmail.com - Gmail - Opera",2026-01-26T21:21:23.740938,2026-01-26T21:21:30.786465,31,YES,SIMULATED_SUCCESS
2026-01-26T21:21:37.383383,2.59,"Inbox (3,294) - puflex@gmail.com - Gmail - Opera","Inbox (3,294) - puflex@gmail.com - Gmail - Opera",2026-01-26T21:21:23.740938,2026-01-26T21:21:37.383383,51,YES,SIMULATED_SUCCESS
2026-01-26T21:21:41.998233,3.75,key_logger_context.py - Zenith - Visual Studio Code,key_logger_context.py - Zenith - Visual Studio Code,2026-01-26T21:21:38.207605,2026-01-26T21:21:41.998233,1,YES,SIMULATED_SUCCESS
2026-01-26T21:21:45.928799,1.22,Meet - sob-fgbp-rur - Opera,Meet - sob-fgbp-rur - Opera,2026-01-26T21:21:42.003596,2026-01-26T21:21:45.928799,16,YES,SIMULATED_SUCCESS
2026-01-26T21:21:47.198768,1.17,Meet - sob-fgbp-rur - Opera,Meet - sob-fgbp-rur - Opera,2026-01-26T21:21:42.003596,2026-01-26T21:21:47.198768,17,YES,SIMULATED_SUCCESS
2026-01-26T21:36:21.099967,1.41,Email - KULKARNI AMAR MILIND - Outlook - Opera,Email - KULKARNI AMAR MILIND - Outlook - Opera,2026-01-26T21:36:17.768392,2026-01-26T21:36:21.099967,27,YES,SIMULATED_SUCCESS
2026-01-26T21:37:41.859586,76.18,Email - KULKARNI AMAR MILIND - Outlook - Opera,Email - KULKARNI AMAR MILIND - Outlook - Opera,2026-01-26T21:36:17.768392,2026-01-26T21:37:41.859586,58,YES,SIMULATED_SUCCESS
2026-01-26T21:38:37.658551,48.79,Meet - sob-fgbp-rur - Opera,Meet - sob-fgbp-rur - Opera,2026-01-26T21:37:41.863041,2026-01-26T21:38:37.658551,30,YES,SIMULATED_SUCCESS
2026-01-26T21:38:50.267374,8.54,Meet - sob-fgbp-rur - Opera,Meet - sob-fgbp-rur - Opera,2026-01-26T21:37:41.863041,2026-01-26T21:38:50.267374,56,YES,SIMULATED_SUCCESS
